id,masterDataId,aboutText
1,ivashko-ev,Специалист высшей квалификационной категории.
2,ivashko-ev,Провожу уроки по Skype. Работаю с детьми от 3 лет и со взрослыми.
3,ivashko-ev,- исправление звукопроизношения;
4,ivashko-ev,- развитие лексической и грамматической стороны речи;
5,ivashko-ev,- развитие связной речи;
6,ivashko-ev,- развитие фонематического восприятия;
7,ivashko-ev,- развитие артикуляционной и мелкой моторики;
8,ivashko-ev,- развитие речевого дыхания;
9,ivashko-ev,- преодоление нарушений письменной речи (дисграфии и дислексии);
10,ivashko-ev,"- развитие внимания, памяти, мышления;"
11,ivashko-ev,- подготовка детей к школе.
12,ivashko-ev,"Наши занятия проходят весело и увлекательно. Дети учатся правильно произносить звуки, строить предложения, сочинять и рассказывать занимательные истории. Это позволяет им чувствовать себя уверенно в общении со сверстниками и взрослыми."
13,zhuchenko-dg,"Учитель-дефектолог, педагог-психолог, учитель начальных классов (опыт работы в центре коррекционно-развивающего обучения и реабилитации 20 лет с детьми дошкольного возраста с дизартрией, с моторной алалией, с общим недоразвитием речи, со смешанным специфическим расстройством развития) окажет квалифицированную помощь вашему ребенку:"
14,zhuchenko-dg,- диагностика и консультация;
15,zhuchenko-dg,- исправление нарушений звукопроизношения;
16,zhuchenko-dg,"- работа с детьми с дизартрией, ОНР (общее недоразвитие речи);"
17,zhuchenko-dg,"- преодоление нарушений чтения и письма (дисграфия, дислексия) и др.;"
18,zhuchenko-dg,- подготовка к школе;
19,zhuchenko-dg,- развитие артикуляционной и мелкой моторики;
20,zhuchenko-dg,- развитие фонематического восприятия;
21,zhuchenko-dg,"- развитие внимания, памяти, мышления и др."
22,astrejko-na,"Квалифицированный учитель-дефектолог (логопед), опыт работы в диагностике речевых нарушений более 20 лет. Специализируюсь на постановке звуков, коррекции фонематического восприятия, развитию речи и подготовке к школе детей с различными речевыми нарушениями. 5 лет активно работаю по скайпу с детьми билингвами."
23,kosmatkova-av,"Репетитор 0-7 классов: подготовка к школе, письмо (1 класс), математика, русский язык, белорусский язык, ментальная арифметика (сертификат)."
24,kosmatkova-av,"Логопед для взрослых: улучшение звукопрoизношения, дикции, речевого дыхания. Исправляю горловое ""р"", межзубное произношение шипящих и свистящих."
25,kosmatkova-av,"Использую новейшие методики постановки звуков, многообразный речевой материал."
26,kosmatkova-av,"Длительность занятия 30 минут. Индивидуальные логопедические занятия для детей от 2-ух лет: вызывание речи, коррекция звукопроизношения, нарушений устной и письменной речи (работа по разным направлениям, включая произносительную, лексико-грамматическую, темпо-ритмическую, просодическую и фонетическую стороны речи)."
27,kosmatkova-av,"Логопедический массаж (сертификат) провожу курсами по 10 сеансов с перерывом в 10 дней. Затем курс повторяется в зависимости от результата. Этот метод использую для исправления звукопроизношения, при мышечных нарушениях (гипертонус, гипотонус, парезы). Для проведения массажа оборудовано специальная комната."
28,kosmatkova-av,"Профессионализм, уважительное отношение к детям и родителям. Спокойная, доброжелательная атмосфера на занятиях. Предоставляю отзывы родителей учеников."
29,labkova-ya,"Логопед-афазиолог высшей квалификационной категории, практик. Восстанавливаю речь после инсульта, ЧМТ, аневризмы головного мозга и другой неврологической патологией."
30,labkova-ya,Проходила обучение и стажировку в Москве. Владею различными методиками восстановления речи.
31,labkova-ya,Логопедический массаж (ручной и зондовый).
32,melnichuk-ma,"Логопед-дефектолог с опытом работы с детьми и взрослыми с тяжелыми нарушениями речи, ДЦП, расстройствами аутистического спектра."
33,melnichuk-ma,"Запуск речи, коррекция произносительной стороны речи, развитие высших психических функций, коррекция письменной речи."
34,pokusina-sn,"Опытный учитель-дефектолог, логопед высшей категории. Стаж работы более 35 лет. 30 лет проработала школьным логопедом. Последнее время работаю в частном детском саду."
35,mitskevich-ea,"Работала школьным дефектологом с детьми с общим недоразвитием речи в дошкольных учреждениях, с детьми-дошкольниками с особенностями интеллекта. Веду частную практику с 2005 г."
36,bojarov-dn,"Занимаюсь с детьми от 7 лет. Работал в детском саду (тяжелые нарушения речи), школа (ПКПП), интегрированные классы (дети с ЗПР и интеллектуальной недостаточностью), центре коррекционно-развивающего обучения и реабилитации (дети с тяжелыми нарушениями речи), частная практика с детьми от 4-х лет до взрослых с тотальной афазией. Опыт работы с пациентами в Москве."
37,shestak-sr,"Я логопед высшей категории, имею второе образование - педагог-психолог, стаж работы 10 лет."
38,shestak-sr,"Опыт работы: общеобразовательная школа, интегрированный класс, с 2015 года - центр коррекционно-развивающего обучения и реабилитации (дошкольники, школьники)."
39,artemenko-en,Оказываю помощь детям с 4-х лет.
40,bikineeva-ev,Учитель-логопед для вашего ребёнка: 
41,bikineeva-ev,- диагностика речевых нарушений с подробными рекомендациями; 
42,bikineeva-ev,"- индивидуальные занятия с 4-х лет по коррекции различных речевых нарушений (дислалия, дизартрия, общее недоразвитие речи, дисграфия); "
43,bikineeva-ev,- логопедический массаж по необходимости в структуре занятия; 
44,bikineeva-ev,"- индивидуальные занятия по развитию неречевых процессов (внимание, восприятие, память, воображение, мышление). "
45,bogdan-vv,"Работала логопедом в частном детском центре. Легко иду на контакт как с детьми, так и с родителями. Сама придумываю и разрабатываю игры и дидактические пособия."
46,boriskevich-sa,"Специалист в области логопедии, психологии и логомассажа. Писала научные статьи. Обучилась логомассажу в 2016 году, практикую с конца 2019."
47,bukley-tv,Обучалась прикладному поведенческому анализу у Юлии Эрц. Посещала семинары Новиковой-Иванцовой и Т.Г. Визель. Часто прохожу обучающие лекции у Марианны Лынской. Постоянно углубляю свои знания в области логопедии и нейропсихологии.
48,dergacheva-ns,"Учитель-дефектолог. Провожу индивидуальные занятия направленные на коррекцию нарушенного звукопроизношения, развитие лексико-грамматического строя речи, развития фонематического слуха, обогащение словарного запаса, коррекцию устной и письменной речи. Преодоление таких речевых нарушений, как дислалия, дизартрия, ОНР, дисграфия. Закончила курсы логопедического массажа, и использую его на практике. Выезжаю на дом к ученику."
49,goncharik-vv,"Молодой специалист, изучающий и практикующий «новую» логопедию."
50,grek-aa,Пишу и публикую статьи.
51,grek-aa,"Молодой специалист, изучающий и практикующий «новую» логопедию."
52,hardrico-ea,"Здравствуйте! Я учитель-логопед. Окончила БГПУ им. М. Танка по специальности логопедия и работаю в детской поликлинике по полученной специальности. Прошла большое количество педагогических практик с детьми дошкольного, младшего школьного, раннего возраста."
53,hardrico-ea,"Веду активную научно-исследовательскую деятельность, занимаюсь саморазвитием, прохожу дополнительные курсы для качественного оказания коррекционно-педагогической помощи."
54,hardrico-ea,Есть опыт проведения индивидуальных и групповых занятий с детьми. Готова работать со взрослыми.
55,hudinskaya-eb,"Дипломированный педагог-психолог, семейный психолог, дефектолог."
56,kasihina-es,"Дипломированный учитель-логопед с правом преподавания в младшей школе в классах с инклюзией и в классах коррекционной направленности; с повышением квалификации в области ""Логопедии раннего возраста от 0 до 3 лет"", а также ""Афазии""."
57,kasihina-es,Имеется опыт работы с детьми с синдромом Аспергера и РАС.
58,kirdun-na,"Опыт работы в пункте коррекционно-педагогической помощи дошкольного учреждения, детском центре развития. "
59,kirilova-av,Провожу консультации и обучение для родителей детей от 1 года.
60,kozhuro-yi,"Опытный логопед. Занимаюсь с детьми и взрослыми. Прошла курсы логопедического массажа, активно использую в практике. Люблю работать на результат."
61,kulak-na,Логопед-дефектолог.
62,kulak-na,"Работаю с  детьми имеющих различные  речевые нарушения (дислалия, дизартрия, общее недоразвитие речи (ОНР), моторная алалия), а также занимаюсь подготовкой к школе (обучение чтению, письму, математике), как в микрогруппе 5-7 человек, так и индивидуально."
63,kulak-na,"Занятия проходят только в моем кабинете, т.к дома ребенок хозяин и он устанавливает свои правила, и результат страдает ... Работаю на результат."
64,kulak-na,"Использую в работе  логопедический массаж (есть сертификат), а также методику по формированию ритмико-мелодико -интонационную организацию языковой системы с неговорящими детьми, применяю МНЕМОТЕХНИКУ."
65,kulak-na,"Ставлю звуки даже ""динозаврам"" :) и готовлю к школе. "
66,kulak-na,Идет запись в микрогруппы и на индивидуальные занятия на будущий учебный год.
67,lugina-va,Логопед 1 квалификационной категории.
68,lukshic-nv,Работаю с детьми от 2-х лет.
69,mochalova-va,"Сертифицированный специалист метода томатис, нейропсихологии, логопедического массажа, Fast for Word. Логопед-дефектолог 1 квалификационной категории."
70,novik-ai,"Высококвалифицированный специалист. Учитель-логопед, педагог-психолог. Имею сертификаты на проведение логопедического массажа, провожу индивидуальные занятия по коррекции звукопроизношения, развитию связной речи."
71,packaleva-eb,Учитель-дефектолог второй высшей категории
72,savickaja-nv,"Автор и разработчик уникальной методики по коррекции почерка ""Графоритмика и музыкальное письмо""."
73,savickaja-nv,"Индивидуальные занятия с детьми и взрослыми, работаю с ОПФР, СДВГ."
74,scherbakova-os,Опыт работы в пункте коррекционно-педагогической помощи дошкольного и школьного учреждения.
75,shmurygin-ai,"Нейрологопед запуска речи. Стаж более 20 лет, высшая категория."
76,shmurygin-ai,"Работаю со всеми категориями детей, в том числе АУТИЗМ, интеллектуальная недостаточность, синдром Дауна."
77,shmurygin-ai,"В 2018 году в течении 3-х недель проходил стажировку в Израиле на базе курсов МАШАВ,(г. Иерусалим)."
78,shmurygin-ai,"В работе использую современные мировые технологии (в частности израильские методики (Суламот), а также российских специалистов - Лынская, Большакова, Черняк и др., а также собственно разработанные методы, позволяющие максимально быстро осуществлять запуск речи у неречевых детей."
79,shmurygin-ai,"Занятия проходят интенсивно, в основном, в игровой форме, результаты, как правило, видны уже на первом занятии."
80,shmurygin-ai,При запуске речи использую элементы нейрокоррекции и сенсорной интеграции.
81,shmurygin-ai,"На каждом занятии даю рекомендации родителям как правильно вести себя с ребенком для достижения скорейшего результата, как адаптировать окружающую обстановку для этих целей."
82,shmurygin-ai,"На каждом занятии даю домашние задания для отработки и закрепления результатов, достигнутых на занятии."
83,shmurygin-ai,Использую оригинальную методику постановки звуков.
84,shmurygin-ai,Даю консультации родителям по коррекции нежелательного поведения ребенка.
85,shmurygin-ai,Запуск речи от двух лет.
86,shuh-si,"Учитель-дефектолог высшей квалификационной категории, опыт работы более 35 лет с детьми с речевой патологией (алалия, дизартрия, ОНР всех уровней, ринолалия, дисграфия, дислексия, специфические расстройства развития и др.) в специализированных дошкольных и школьных учреждениях; многолетняя частная практика в качестве репетитора."
87,shuh-si,Окажу квалифицированную помощь вашему ребенку:
88,shuh-si,- комплексная подготовка детей к школе;
89,shuh-si,- помощь учащимся начальных классов в усвоении программного материала;
90,shuh-si,- диагностика по вопросам соответствия развития познавательной деятельности ребенка его возрасту и консультация родителей;
91,shuh-si,"- помощь детям дошкольного и школьного возраста в преодолении речевых нарушений (исправление нарушений звукопроизношения, преодоление общего недоразвития речи, работа над письменной речью, развитие внимания, памяти, логического мышления и др.)."
92,shuh-si,"Нахожу индивидуальный подход к детям, работаю на результат."
93,simogina-tg,Провожу коррекционную работу с дошкольниками и школьниками.
94,simogina-tg,Исправление звукопроизношения и развитие речи у детей с 3-х лет и у взрослых любого возраста.
95,simogina-tg,Подготовка детей от 4 лет к обучению в школе. 
96,simogina-tg,"Развивающие занятия, обучение чтению, счёту, подготовка руки к письму, развитие логического и аналитического мышления."
97,sivenkova-ds,Олигофренопедагог. Учитель-логопед.
98,tabolina-lv," Квалифицированный специалист, высшая квалификационная категория. Опубликованные работы. Участие в Республиканских и Международных форумах. "
99,tsegalko-vu,"Работаю с детьми раннего, дошкольного и школьного возраста, подростками и взрослыми по следующим направлениям:"
100,tsegalko-vu,- диагностика и выявление речевых нарушений;
101,tsegalko-vu,"- развитие фонематического восприятия, звукобуквенного анализа и синтеза;"
102,tsegalko-vu,- коррекция звукопроизношения;
103,tsegalko-vu,- формирование грамматического строя речи;
104,tsegalko-vu,- коррекция речевого дыхания и голоса;
105,tsegalko-vu,- обогащение словаря и развитие связной речи;
106,tsegalko-vu,- вызывание и развитие речи у детей с задержкой речевого развития;
107,tsegalko-vu,- развитие мелкой и общей моторики;
108,tsegalko-vu,"- развитие психических процессов (памяти, внимания, мышления, воображения);"
109,tsegalko-vu,- коррекция письменной речи (при дисграфии и дислексии);
110,tsegalko-vu,- устранение заикания;
111,tsegalko-vu,"- подготовка к школе (обучение чтению, формирование элементарных математических, пространственных и временных представлений);"
112,tsegalko-vu,- консультирование родителей.
113,adzeriho-da,Работаю переводчиком в Белоруссии и Германии.
114,dmitruk-aa,"Воспитатель дошкольного образования первой квалификационной категории, преподаватель истории и обществоведческих дисциплин, магистр педагогических наук."
115,gavrijash-ss,"Педагог гимназии высшей категории, опытный репетитор. Закончила математический факультет Минского государственного педагогического института имени М.Горького. Диплом с отличием."
116,gavrijash-ss,Имею научные результаты по высшей алгебре.
117,gavrijash-ss,Опыт работы методистом математики в Минском учебно-методическом центре образования.
118,golod-ai,"Моя педагогическая история началась, когда, в далеком 2011 году, я поступила на психолого -педагогический факультет нашего Брестского ВУЗа. На специальность Начальные классы. Иностранный язык."
119,golod-ai,"Пять лет быстро пролетели и вот в 2016 году я пошла работать в 17 школу учителем начальных классов. Сказать, что мне понравилось - ничего не сказать! Я обожала свой класс, своих коллег и даже начальство!"
120,golod-ai,"Параллельно я начала вести Репетиторство и подготовку к Школе, за 3 года, что я работала репетитором, в общей сложности у меня занимались как минимум 30 учеников, имена которых я могу сейчас вам продиктовать. были детки разных возрастов, с разными увлечениями, с разными стремлениями. Я любила ( и продолжаю любить) каждого своего ученика. Ваш ребёнок не будет исключением☺️. Сейчас я Мама малыша Давида. Ему 1 год и 3 месяца. Я Мама в декрете, которая хочет развиваться сама и развивать ваших деток. Математика, русский, белорусский... а может Подготовка к школе? Я с радостью."
121,goranskaya-vm,"Опытный педагог начальных классов первой категории предлагаю свои индивидуальные занятия. Качественные уроки, всегда гарантия улучшения успеваемости. Занятия по наверстыванию упущенного материала, устранение пробелов в знаниях, наработка, помощь в выполнении домашнего задания, подготовка к контрольным, к школе. Много лет работала с классами коррекции, с детьми с ЗПР, наработаны свои методики работы с такими детками. Всегда нахожу общий язык с учеником, занятия проходят комфортно для ребёнка. Если вы хотите результат от занятий с опытным педагогом, а не просто выброшенные деньги, всегда рада помочь. "
122,goroshko-as,"Здравствуйте! Я предлагаю Вам свои услуги репетитора по подготовке к школе и изучению предметов начальной школы, а так же английскому языку: занимательные и познавательные занятия для дошкольников, подготовка детей к школе, занятия со школьниками с 1 по 11 класс. Подготовка к сдаче выпускных экзаменов и поступлению. Доступное объяснение школьного материала по английскому языку, также окажу помощь в выполнении домашнего задания. Возможны занятия с нуля."
123,goroshko-as,"Индивидуальный подход, интенсивное увеличение словарного запаса, широкое использования пособий и дополнительных материалов, произношение."
124,goroshko-as,"Занятия возможны как у вас, так и на дому у преподавателя."
125,goroshko-as,"Здравствуйте! Я предлагаю Вам свои услуги репетитора по подготовке к школе и изучению предметов начальной школы, а так же английскому языку: занимательные и познавательные занятия для дошкольников, подготовка детей к школе, занятия со школьниками с 1 по 11 класс. Подготовка к сдаче выпускных экзаменов и поступлению. Доступное объяснение школьного материала по английскому языку, также окажу помощь в выполнении домашнего задания. Возможны занятия с нуля."
126,goroshko-as,"Индивидуальный подход, интенсивное увеличение словарного запаса, широкое использования пособий и дополнительных материалов, произношение."
127,goroshko-as,"Занятия возможны как у вас, так и на дому у преподавателя."
128,isaenko-yuv,Дипломированный педагог-психолог.
129,isaenko-yuv,"Есть опыт работы няни на дому, педагога в детских развивающих центрах, а также в частной школе Скорочтения и развития интеллекта."
130,isaenko-yuv,Дипломированный педагог-психолог.
131,jurkova-td,"Опытный педагог высшей категории со стажем работы 20 лет, репетитор. Для 5-6 летних детей провожу подготовку к школе в игровой форме."
132,jurkova-td,"Для учащихся 1-4 классов: математика, русский язык (для детей с логопедическими проблемами занятия строятся с учётом их особенностей и потребностей), письмо (для первоклассников), белорусский язык, чтение (развитие навыка беглого, осознанного чтения, развитие речи)."
133,jurkova-td,"Для 3 и 4 классов предлагаю занятия по подготовке к поступлению в гимназию. Цель занятий — всесторонняя подготовка ребенка к сдаче экзамена по математике, написанию диктантов по русскому и белорусскому языкам для поступления в 5 класс гимназии. Использование различных учебных материалов позволяет понять и эффективно применять алгоритм любой изучаемой темы, а достаточное количество простых и понятных заданий способствует качественному усвоению материала."
134,kozlova-sa,"Подготовлю к ЦТ по эффективной методике с использованием раздаточного материала, простых схем и легко запоминающихся таблиц."
135,kozlova-sa,"Преподаю политологию в БГУ, готовлю к республиканским олимпиадам по обществоведению в центре «Наставник». В 2019 году из десяти учеников 10-11 классов семеро получили дипломы I-II степеней."
136,kozlova-sa,"Также помогаю ученикам начальных классов в подготовке домашних заданий. Разбираем школьный материал по полочкам, устраняем пробелы в знаниях. Занятия проходят в легкой, увлекательной для ребенка форме по индивидуальной программе. Стаж работы в начальной школе десять лет."
137,krupskiy-va,"Быстро нахожу язык с детьми, работал в детском саду и аниматором, поэтому наши уроки будут не только познавательными, но и интересными."
138,ksenzova-oa,Учитель начальных классов 1 квалификационной категории.
139,ksenzova-oa,"Подготовка к школе: развитие мышления, внимания, логики, мелкой моторики; возможно включение начальных знаний по математике, обучение чтению."
140,martsinkevich-ya,Имею 1 категорию. Помогу с любым предметом начальной школы.
141,mikhailova-ms,"На протяжении 6 лет работаю с детьми. Работаю по разным методикам, собираю только лучшие методы для обучения. Для каждого ученика составляю индивидуальный план занятий, который учитывает все пожелания родителей."
142,mikhailova-ms,Что получит ваш ребенок от занятий со мной:
143,mikhailova-ms,-Занятия в игровой форме
144,mikhailova-ms,-Тренировка памяти
145,mikhailova-ms,-Постановка быстрого счета и умения решать задачи
146,mikhailova-ms,"-Развитие логического мышления, пробуждение интереса к математике"
147,mikhailova-ms,-Развитие грамотной устной и письменной речи
148,mikhailova-ms,-Обучение свободному и логичному изложению своих мыслей
149,mikhailova-ms,-Ликвидация пробелов в знаниях
150,mikhailova-ms,-На занятиях использую большое количество наглядного бумажного/видео/аудио материала.
151,onufrieva-av,Имею английский сертификат Лондонской школы Kaplan и немецкий сертификат Sprachdiplom Goethe-Institut.
152,onufrieva-av,"Регулярно повышаю уровень владения языками за границей: Англия, Германия, Италия, Испания и др."
153,onufrieva-av,Мой опыт успешной  работы более 15 лет и включает в себя:
154,onufrieva-av,- преподавание в гимназиях Минска и частных школах Москвы.
155,onufrieva-av,- преподавание в МГЛУ (ин.яз).
156,onufrieva-av,- преподавание в собственной школе иностранных языков.
157,onufrieva-av,"- корпоративное преподавание бизнес языка в ведущих компаниях Москвы: ""Интерстрой"", ""Сетунь"", АО "" Издательский дом ""Бурда"", ""Дженсер"", "" ЮниКредит Банк"" и др., а также оказание переводческих услуг физ и юр лицам."
158,onufrieva-av,- индивидуальное преподавание русским и иностранным студентам за границей
159,onufrieva-av,"- дистанционное преподавание, skype "
160,onufrieva-av,"Предлагаю высокоэффективные занятия по английскому, немецкому, итальянскому , русскому, белорусскому языкам с гарантией высоких результатов и качества!"
161,onufrieva-av,"Также обучаю разговорному испанскому языку на уровне туриста (собственные экспресс методики, позволяющие за короткое время овладеть уверенным базовым языком)."
162,onufrieva-av, Мои ученики получают высочайшие баллы при сдаче экзаменов!
163,onufrieva-av,"- дошкольная программа, начиная с 2-х лет (специальные игровые методики)"
164,onufrieva-av,"- подготовка ко всевозможным сертификатам по вышеуказанным языкам (IELTS, TOEFL, TESTDAF, CAE, ZD и другие)."
165,onufrieva-av," Являясь параллельно профессиональным психологом, провожу индивидуальные и групповые консультации по различной проблематике (лично/ по скайпу)."
166,onufrieva-av,"Если Вам нужны интересные, живые, нескучные занятия высокого класса с отличным финальным результатом  или качественные консультации психолога, тогда Вам ко мне! "
167,onufrieva-av," Всем клиентам даю гарантию высокого результата за минимально возможное время, в противном случае верну Ваши средства!"
168,orlovskaya-tv,"Первое ознакомительное занятие бесплатно (необходимо для того, чтобы выявить уровень ученика и составить дальнейший план обучения)."
169,savchenko-vyu,"Средний балл в школе 9.9, на данный момент обучаюсь в БГТУ на самой востребованной специальности - программное обеспечение информационных технологий, на бюджете."
170,shakirova-ar,Дипломированный преподаватель русского языка и литературы.
171,shakirova-ar,"Подготовлю к школе, помогу освоить материал и не забыть его к следующему занятию."
172,shakirova-ar,Преподаю португальский и болгарский языки.
173,shvaba-ov,С 2017 г. даю частные уроки профессионально.
174,shvaba-ov,"Помогу подготовиться к ЦТ, обращаю внимание на нюансы и тонкости вопросов, стараюсь рассказать просто о сложном, выделяю в объёмом правиле те моменты, которые помогут справиться с заданием тестирования, делюсь приёмами запоминания материала и ""секретами"" выбора ответов."
175,shvaba-ov,"Почему важно уделить время подготовке к ЦТ по русскому языку? Во-первых, ежедневно мы используем в речи и слышим вокруг именно разговорный русский, т.е большинство моментов не будут кардинально новыми. Во-вторых, если попробовать пройти тест прошлых лет, то знаний любого учащегося хватит, чтобы результат был не нулевым, а значит, уделив время этому предмету, можно существенно приблизить свой балл к заветной 100, и за счёт русского получить суммарно больший результат."
176,sidorova-dg,"Золотая медаль, конкурсы и олимпиады по школьным дисциплинам."
177,spailo-gv,Защита опыта работы с детьми по теме: «Экологическое воспитание детей дошкольного возраста».
178,spailo-gv,"Опыт кружковой работы по подготовке детей к школе (обучение грамоте, элементарные математические представления, развития речи, ознакомление детей с природой и окружающим миром, изобразительная деятельность, рисование, лепка, аппликации)."
179,tihonovich-ap,"Учитель начальных классов первой категории. Занимаюсь с ребятами из Заводского и Октябрьского районов, Лошицы, Чижовки."